full_name,url,stars,language,focus,description
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,65900,Python,platform,"Open-source financial data platform often described as an open Bloomberg terminal"
ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis,65480,Python,llm-analysis,"LLM-powered multi-market stock analysis with news, dashboard, and scheduled runs"
microsoft/qlib,https://github.com/microsoft/qlib,40700,Python,quant-platform,"Microsoft AI-oriented quant research platform"
shashankvemuri/Finance,https://github.com/shashankvemuri/Finance,4281,Python,toolkit,"Python toolkit for data, indicators, screening, backtests, and portfolios"
xbtlin/ai-berkshire,https://github.com/xbtlin/ai-berkshire,16482,HTML,value-investing,"Multi-agent value-investing research framework"
hugo2046/QuantsPlaybook,https://github.com/hugo2046/QuantsPlaybook,6212,Jupyter Notebook,quant-research,"Quant research notebooks reproducing broker strategy reports"
letianzj/QuantResearch,https://github.com/letianzj/QuantResearch,3000,Jupyter Notebook,quant-research,"Notebooks on pairs trading, HMM, ARIMA/GARCH, RL, portfolio optimization"
shy3130/tick-stock-panel,https://github.com/shy3130/tick-stock-panel,4877,Python,workbench,"Self-hosted A-share screener, monitor, and backtest workbench"
shirosaidev/stocksight,https://github.com/shirosaidev/stocksight,2539,Python,sentiment,"Stock analyzer using news/Twitter sentiment plus Elasticsearch"
LastAncientOne/Stock_Analysis_For_Quant,https://github.com/LastAncientOne/Stock_Analysis_For_Quant,2062,Jupyter Notebook,multi-tool,"Stock analysis examples in Python, R, Excel, MATLAB, Power BI, Tableau"
tradytics/surpriver,https://github.com/tradytics/surpriver,1877,Python,anomaly-detection,"Find unusually large movers before they move using ML anomaly detection"
TradeMaster-NTU/TradeMaster,https://github.com/TradeMaster-NTU/TradeMaster,2800,Python,reinforcement-learning,"RL platform covering data, simulators, algorithms, and evaluation"
AdvancingTitans/stock-analysis,https://github.com/AdvancingTitans/stock-analysis,800,Python,research-cli,"Evidence-driven CLI research reports for A/HK/US/JP/KR stocks and funds"
wshobson/maverick-mcp,https://github.com/wshobson/maverick-mcp,676,Python,mcp,"Personal stock-analysis MCP server for Claude / agent workflows"
cinar/indicator,https://github.com/cinar/indicator,1797,Go,indicators,"High-performance technical-indicator and backtesting library in Go"
facioquo/stock-indicators-dotnet,https://github.com/facioquo/stock-indicators-dotnet,1246,C#,indicators,".NET library that turns OHLCV quotes into technical indicators"
freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,49000,Python,trading-bot,"Popular open-source crypto trading bot; useful as a strategy lab"
backtrader/backtrader,https://github.com/backtrader/backtrader,21100,Python,backtest,"Widely used Python event-driven backtesting engine"
quantopian/zipline,https://github.com/quantopian/zipline,19600,Python,backtest,"Classic Pythonic algorithmic trading library"
TNT-Likely/PanWatch,https://github.com/TNT-Likely/PanWatch,1274,Python,ai-monitor,"Self-hosted AI watchlist assistant for A-shares, HK, and US stocks"
